id,case_name,ruling_impact_level,ruling_label,who_wins,who_loses,summary_spicy,why_it_matters,dissent_highlights,evidence_anchors,disposition,holding,prevailing_party,case_type,issue_area,vote_split,majority_author,dissent_exists,fact_extraction_confidence,enrichment_status,prompt_version,enriched_at
4,"Connelly v. United States",4,"Rubber-stamping Tyranny","Crown C Supply, a closely held corporation, benefits as the Court's ruling clarifies that life-insurance proceeds must be included in the valuation of the corporation for federal estate tax calculations, effectively shielding it from significant tax liabilities.","The federal government is harmed as it loses out on potential estate tax revenue, allowing wealthy corporations to exploit technicalities in valuation to lower their tax burdens.","The Court affirmed that a corporation's obligation to redeem shares does not impact its valuation for tax purposes—a ruling that sounds boring but has serious implications. By determining that life-insurance proceeds must be counted as assets, the Court gives corporations a green light to inflate their market value, effectively lowering their estate tax responsibilities. This technical maneuver allows wealthy corporations to play the system, leaving the government and everyday taxpayers to foot the bill.","Crown C Supply's estate tax valuation hinges on the inclusion of life-insurance proceeds, which the Court has now confirmed must be counted as part of the corporation's fair market value. This ruling means that corporations can maneuver around tax obligations by leveraging their insurance policies, essentially allowing them to shelter wealth while everyday Americans face the brunt of a tax system that favors the rich. In a world where tax fairness is already a struggle, this decision tilts the scales further toward corporate interests.",,"[""A corporation's contractual obligation to redeem shares is not necessarily a liability"",""life-insurance proceeds payable to a corporation are an asset""]",affirmed,"A corporation's contractual obligation to redeem shares does not reduce its value for federal estate tax purposes, and life-insurance proceeds are assets that increase the corporation's fair market value.",respondent,merits,corporate_liability,,Clarence Thomas,false,high,enriched,v4-quality-eval,2026-02-25T05:31:49.907+00:00
51,"Department of Agriculture Rural Development Rural Housing Service v. Kirtz",4,"Rubber-stamping Tyranny","Reginald Kirtz and other consumers can now pursue damages directly from federal agencies that violate the Fair Credit Reporting Act. This ruling crucially allows individuals to hold powerful government entities accountable for misinformation that damages their credit.","The Department of Agriculture Rural Development Rural Housing Service loses its shield of sovereign immunity, exposing it to lawsuits for misleading credit reporting. This ruling forces the agency to reckon with its own failures in a way that may hinder its operations.","Reversed. A federal agency's authority to operate without accountability just took a hit. Consumers can now sue the USDA when it flouts the Fair Credit Reporting Act—an essential protection for everyday Americans. This decision shifts the balance of power, opening the door for individuals to challenge bureaucratic malfeasance.","The Fair Credit Reporting Act allows consumers to sue for damages when agencies like the USDA supply false information to credit reporting agencies. With this ruling, consumers now have the leverage to demand accountability from federal agencies that have previously asserted immunity, ensuring their credit rights are protected from government negligence.",,"[""a consumer may sue a federal agency"",""the Fair Credit Reporting Act's terms""]",reversed,"A consumer may sue a federal agency for defying the Fair Credit Reporting Act's terms, as the Act waives sovereign immunity in such cases.",petitioner,merits,civil_rights,,Neil Gorsuch,false,high,enriched,v4-quality-eval,2026-02-25T05:31:23.376+00:00
63,"Trump v. Anderson",,,,,,,,,[],reversed,"The Court reversed the Colorado Supreme Court's decision, concluding that states do not have the authority to enforce Section 3 of the Fourteenth Amendment against federal officeholders, including the Presidency.",petitioner,merits,executive_power,,,,high,failed,v4-quality-eval,
64,"Royal Canin U. S. A. v. Wullschleger",3,"Institutional Sabotage","Anastasia Wullschleger benefits as her case is remanded to state court, allowing her to pursue her claims against Royal Canin U.S.A. without the federal court's interference. This ruling restores her ability to seek justice based on state law.","Royal Canin U.S.A. loses as the federal court's jurisdiction over the case disappears, forcing them back to state court where they may face greater scrutiny and potential liability for their alleged deceptive marketing practices.","Reversed. The Eighth Circuit's decision signals a peculiar split among justices, but the outcome shows how the Supreme Court cannot seem to agree on basic principles of jurisdiction. By allowing Wullschleger's amendment to strip federal claims, the Court reinforces the notion that federal courts may not always be the safe haven for corporate defendants. The fractured vote reveals a dysfunction that undermines the consistency of federal jurisdiction.","The ruling clarifies that when a plaintiff amends her complaint to delete federal claims, the federal court loses jurisdiction over any remaining state claims, as stated under 28 U.S.C. § 1367. This decision highlights the judicial system's ongoing struggle with jurisdictional issues, especially in cases involving corporate defendants seeking to avoid state court accountability. Essentially, the ruling emphasizes the need for plaintiffs to control their complaints to dictate the forum for their cases.",,"[""the federal court loses supplemental jurisdiction over the state claims"",""the case must therefore return to state court""]",reversed,"When a plaintiff amends her complaint to delete the federal-law claims that enabled removal to federal court, the federal court loses supplemental jurisdiction over the state claims, necessitating remand to state court.",respondent,merits,other,,Elena Kagan,false,high,enriched,v4-quality-eval,2026-02-25T05:32:16.6+00:00
68,"TikTok Inc. v. Garland",,,,,,,,,[],,,,,,,false,low,flagged,v2-ado280-flagged,
109,"Lackey v. Stinnie",5,"Constitutional Crisis","The Virginia Department of Motor Vehicles retains its stance against plaintiffs seeking attorney's fees, reinforcing a narrow interpretation of 'prevailing party' status that limits access to justice for individuals challenging state actions. This ruling effectively shields the state from compensating drivers who have already faced undue penalties.","Virginia drivers who sought to challenge unconstitutional license suspensions lose their chance to recover attorney's fees, despite having obtained a preliminary injunction that temporarily restored their driving privileges. Their victory in halting enforcement of the statute now holds no weight in securing the support needed for future legal battles.","The Supreme Court just reversed a Fourth Circuit ruling that would have allowed Virginia drivers to secure attorney's fees after winning a preliminary injunction against unconstitutional license suspensions. This decision confirms that merely obtaining a temporary court order does not qualify as prevailing, leaving civil rights plaintiffs stranded without compensation for their legal efforts. Don't get used to this outcome; the Court's interpretation leaves those fighting for their rights in a precarious position.","The Court held that 'the plaintiff drivers here—who gained only preliminary injunctive relief before this action became moot—do not qualify as ""prevailing part[ies]"" eligible for attorney's fees under §1988(b).' This ruling undermines the ability of civil rights plaintiffs to finance their legal battles, effectively penalizing them for their efforts to seek justice. With the narrow definition of 'prevailing party,' the system remains stacked against those who challenge state power.","Justice Jackson, joined by Justice Sotomayor, warned that this ruling 'categorically precludes fee awards for any plaintiff who successfully obtains preliminary injunctive relief' and undermines the original congressional intent of ensuring access to justice for civil rights grievances.","[""do not qualify as \""prevailing part[ies]\"" eligible for attorney's fees under §1988(b)"",""the judgment of the Court of Appeals for the Fourth Circuit is reversed""]",reversed,"The Court held that the plaintiff drivers, who only obtained a preliminary injunction, do not qualify as 'prevailing parties' for attorney's fees under §1988(b).",respondent,merits,civil_rights,,John Roberts,true,high,enriched,v4-quality-eval,2026-02-25T05:35:23.996+00:00
120,"Bufkin v. Collins",3,"Institutional Sabotage","The Department of Veterans Affairs (VA) retains the authority to apply the benefit-of-the-doubt rule, which favors the agency's determinations over veterans' claims. This ruling allows the VA to maintain a high level of deference in its decisions regarding service-related disability claims.","Veterans like Joshua Bufkin and Norman Thornton lose their ability to effectively challenge the VA's findings, as their claims will now be subject to a narrower standard of review. This limits their chances of receiving the benefits they may deserve based on their service-related disabilities.","Your chances of receiving fair treatment from the VA just took a hit. The Court affirmed the lower rulings that uphold the VA's determinations on service-related disability claims, allowing the agency to prioritize its own findings over veterans' appeals. This ruling reinforces a system where veterans' voices are drowned out by bureaucratic processes that favor the government. If you thought the VA would give you the benefit of the doubt, think again.","The VA's determination regarding service-related disability claims is now protected under a standard that prioritizes its factual findings. This ruling effectively shields the VA from meaningful scrutiny, as the Veterans Court must only review the VA's decisions for clear error. As a result, veterans may find it increasingly difficult to receive fair evaluations of their claims, especially in cases where evidence is closely contested.","Justice Jackson's dissent warns that this ruling undermines the intended protection for veterans, arguing that it effectively rubber stamps the VA's determinations without proper oversight. She contends that Congress aimed to ensure veterans receive the benefit of the doubt, which this ruling fails to uphold.","[""the benefit-of-the-doubt rule"",""reviewed only for clear error""]",affirmed,"The VA's determination that the evidence regarding a service-related disability claim is in 'approximate balance' is a predominantly factual determination reviewed only for clear error.",respondent,merits,healthcare,,Clarence Thomas,true,high,enriched,v4-quality-eval,2026-02-25T05:32:31.473+00:00
133,"United States v. Miller",4,"Rubber-stamping Tyranny","The United States government retains its sovereign immunity against state-law claims, effectively shielding it from accountability in bankruptcy proceedings. This ruling tightens the grip of governmental power, limiting the ability of bankruptcy trustees to reclaim assets misappropriated from debtors.","Bankruptcy trustees and creditors lose an essential tool to recover misappropriated funds, as they can no longer invoke state-law claims against the government in these cases. This decision undermines the bankruptcy system's purpose of maximizing benefits for creditors and restoring fairness in asset distribution.","Justice Gorsuch warned that this ruling would create a barrier for bankruptcy trustees seeking justice against the government. The majority ignored the clear need for accountability, effectively reversing the Tenth Circuit's decision that allowed a bankruptcy trustee to use state law for recovery. Now, trustees face insurmountable challenges in clawing back funds, leaving creditors in the lurch. This ruling will be shown to stifle fairness when the consequences play out in future bankruptcy cases.","The Court's decision states that Section 106(a) of the Bankruptcy Code, which waives the government's sovereign immunity, applies only to the §544(b) claim and not to any state-law claims associated with it. This effectively prevents trustees from utilizing state laws to reclaim misappropriated funds, thereby protecting the federal government from liability and undermining the bankruptcy process designed to protect creditors and ensure equitable asset distribution.","Justice Gorsuch cautioned that the majority's decision misunderstands the nature of sovereign immunity, arguing that the Court's ruling unjustly limits trustees' ability to pursue valid claims against the government. He emphasized that a good substantive claim exists, but the government can evade accountability by invoking sovereign immunity.","[""Section 106(a)'s sovereign-immunity waiver applies only to a §544(b) claim"",""that a bankruptcy trustee cannot use state-law claims to extend the avoidance powers""]",reversed,"The Court held that Section 106(a)'s waiver of sovereign immunity applies only to the §544(b) claim itself and not to state-law claims nested within that federal claim.",respondent,merits,corporate_liability,,Ketanji Jackson,true,high,enriched,v4-quality-eval,2026-02-25T05:33:03.373+00:00
192,"Soto v. United States",1,"Crumbs from the Bench","Veterans, like Simon Soto, benefit from this ruling as they can now receive combat-related special compensation (CRSC) payments without being restricted by the Barring Act's 6-year limitations period.","The federal government loses the ability to impose a limitations period on CRSC claims, which could potentially expand its financial liability towards eligible veterans.","The Barring Act's 6-year limitations period just got tossed out the window. In a unanimous decision, the Court reversed the Federal Circuit's ruling, affirming that the CRSC statute provides its own settlement authority. This essentially means veterans like Soto can claim CRSC payments without being shackled by arbitrary time limits imposed by the government.","The Court ruled that the CRSC statute confers authority to settle claims and displaces the Barring Act's limitations period. This decision allows veterans to seek compensation dating back to the statute's effective date without the burden of a strict cut-off. By enabling broader access to benefits for combat-disabled veterans, this ruling finally recognizes the unique sacrifices they made.",,"[""The CRSC statute confers authority to settle CRSC claims"",""the Barring Act's 6-year limitations period does not apply""]",reversed,"The CRSC statute confers authority to settle CRSC claims and displaces the Barring Act's settlement procedures and limitations period.",petitioner,merits,civil_rights,,Clarence Thomas,false,high,enriched,v4-quality-eval,2026-02-25T05:31:37.934+00:00
286,"Barrett v. United States Revisions: 1/14/26",3,"Institutional Sabotage","Dwayne Barrett benefits as the Court's decision means he can no longer be subjected to multiple convictions for a single act that violated both §924(c)(1)(A)(i) and §924(j), thereby reducing his potential sentences.","The federal government is harmed as they lose the ability to impose two separate convictions for the same conduct, limiting their prosecutorial power in cases involving firearm-related crimes resulting in death.","Imagine being punished twice for the same crime, and then the Supreme Court says, 'Not today.' In a stunning reversal, the Court determined that Congress did not authorize dual convictions under 18 U.S.C. §§924(c)(1)(A)(i) and (j) for a single act of violence. This decision means one act can only lead to one conviction, a blow to prosecutors seeking maximum penalties in firearm-related deaths.","The Court held that Congress did not clearly authorize convictions under both §§924(c)(1)(A)(i) and (j) for a single act that violates both provisions. This ruling strips federal prosecutors of the power to seek multiple convictions for the same offense, effectively curtailing their ability to impose harsher sentences for serious crimes. The implication is that defendants like Barrett may escape the full weight of the law for actions that lead to death during violent crimes.",,"[""Congress did not clearly authorize convictions under both §§924(c)(1)(A)(i) and (j)"",""One act that violates both provisions therefore may spawn only one conviction.""]",reversed,"The Court held that Congress did not clearly authorize convictions under both §§924(c)(1)(A)(i) and (j) for a single act that violates both provisions.",petitioner,merits,criminal_procedure,9-0,Ketanji Jackson,false,high,enriched,v4-quality-eval,2026-02-25T05:31:01.137+00:00
